model_id,surface,cell_id,family,severity,sequence_path,prediction_path,prediction_png_path,sam_score,dice,cldice,pred_area_pixels,gt_area_pixels,area_ratio,pred_component_count,gt_component_count,component_count_ratio,dice_delta_vs_clean,cldice_delta_vs_clean
sam_vit_b,synthetic_topcow_projection,clean,clean,0,clean_sequence.npy,synthetic_predictions/sam_vit_b/clean_mask.npy,synthetic_predictions/sam_vit_b/clean_mask.png,0.9191328883171082,0.9810482128526452,0.9990412272291467,7966,8233,0.9675695372282279,2,2,1.0,0.0,0.0
sam_vit_b,synthetic_topcow_projection,frame_thinning_severity_0,frame_thinning,0,cells/frame_thinning_severity_0.npy,synthetic_predictions/sam_vit_b/frame_thinning_severity_0_mask.npy,synthetic_predictions/sam_vit_b/frame_thinning_severity_0_mask.png,0.9191328883171082,0.9810482128526452,0.9990412272291467,7966,8233,0.9675695372282279,2,2,1.0,0.0,0.0
sam_vit_b,synthetic_topcow_projection,frame_thinning_severity_1,frame_thinning,1,cells/frame_thinning_severity_1.npy,synthetic_predictions/sam_vit_b/frame_thinning_severity_1_mask.npy,synthetic_predictions/sam_vit_b/frame_thinning_severity_1_mask.png,0.9191328883171082,0.9810482128526452,0.9990412272291467,7966,8233,0.9675695372282279,2,2,1.0,0.0,0.0
sam_vit_b,synthetic_topcow_projection,frame_thinning_severity_2,frame_thinning,2,cells/frame_thinning_severity_2.npy,synthetic_predictions/sam_vit_b/frame_thinning_severity_2_mask.npy,synthetic_predictions/sam_vit_b/frame_thinning_severity_2_mask.png,0.9134036302566528,0.9773895806231804,0.9990412272291467,7910,8233,0.9607676424146726,2,2,1.0,-0.003658632229464831,0.0
sam_vit_b,synthetic_topcow_projection,contrast_phase_severity_0,contrast_phase,0,cells/contrast_phase_severity_0.npy,synthetic_predictions/sam_vit_b/contrast_phase_severity_0_mask.npy,synthetic_predictions/sam_vit_b/contrast_phase_severity_0_mask.png,0.9191328883171082,0.9810482128526452,0.9990412272291467,7966,8233,0.9675695372282279,2,2,1.0,0.0,0.0
sam_vit_b,synthetic_topcow_projection,contrast_phase_severity_1,contrast_phase,1,cells/contrast_phase_severity_1.npy,synthetic_predictions/sam_vit_b/contrast_phase_severity_1_mask.npy,synthetic_predictions/sam_vit_b/contrast_phase_severity_1_mask.png,0.9053525328636169,0.9755795215073757,0.9966704774744819,7901,8233,0.9596744807482084,2,2,1.0,-0.005468691345269505,-0.0023707497546647804
sam_vit_b,synthetic_topcow_projection,contrast_phase_severity_2,contrast_phase,2,cells/contrast_phase_severity_2.npy,synthetic_predictions/sam_vit_b/contrast_phase_severity_2_mask.npy,synthetic_predictions/sam_vit_b/contrast_phase_severity_2_mask.png,0.8865615725517273,0.9721600795426298,0.9943553687015547,7859,8233,0.9545730596380421,2,2,1.0,-0.008888133310015367,-0.004685858527591957
sam_vit_b,synthetic_topcow_projection,device_overlay_severity_0,device_overlay,0,cells/device_overlay_severity_0.npy,synthetic_predictions/sam_vit_b/device_overlay_severity_0_mask.npy,synthetic_predictions/sam_vit_b/device_overlay_severity_0_mask.png,0.9191328883171082,0.9810482128526452,0.9990412272291467,7966,8233,0.9675695372282279,2,2,1.0,0.0,0.0
sam_vit_b,synthetic_topcow_projection,device_overlay_severity_1,device_overlay,1,cells/device_overlay_severity_1.npy,synthetic_predictions/sam_vit_b/device_overlay_severity_1_mask.npy,synthetic_predictions/sam_vit_b/device_overlay_severity_1_mask.png,0.9078450202941895,0.5602697899102219,0.6528187370790942,13710,8233,1.665249605247176,277,2,138.5,-0.4207784229424233,-0.34622249015005246
sam_vit_b,synthetic_topcow_projection,device_overlay_severity_2,device_overlay,2,cells/device_overlay_severity_2.npy,synthetic_predictions/sam_vit_b/device_overlay_severity_2_mask.npy,synthetic_predictions/sam_vit_b/device_overlay_severity_2_mask.png,0.9206821322441101,0.6241094597782496,0.6424506218998289,12962,8233,1.57439572452326,132,2,66.0,-0.3569387530743956,-0.35659060532931774
medsam_vit_b,synthetic_topcow_projection,clean,clean,0,clean_sequence.npy,synthetic_predictions/medsam_vit_b/clean_mask.npy,synthetic_predictions/medsam_vit_b/clean_mask.png,0.5834706425666809,0.25539705183071804,0.23318951733744522,33827,8233,4.108708854609499,120,2,60.0,0.0,0.0
medsam_vit_b,synthetic_topcow_projection,frame_thinning_severity_0,frame_thinning,0,cells/frame_thinning_severity_0.npy,synthetic_predictions/medsam_vit_b/frame_thinning_severity_0_mask.npy,synthetic_predictions/medsam_vit_b/frame_thinning_severity_0_mask.png,0.5834706425666809,0.25539705183071804,0.23318951733744522,33827,8233,4.108708854609499,120,2,60.0,0.0,0.0
medsam_vit_b,synthetic_topcow_projection,frame_thinning_severity_1,frame_thinning,1,cells/frame_thinning_severity_1.npy,synthetic_predictions/medsam_vit_b/frame_thinning_severity_1_mask.npy,synthetic_predictions/medsam_vit_b/frame_thinning_severity_1_mask.png,0.5834706425666809,0.25539705183071804,0.23318951733744522,33827,8233,4.108708854609499,120,2,60.0,0.0,0.0
medsam_vit_b,synthetic_topcow_projection,frame_thinning_severity_2,frame_thinning,2,cells/frame_thinning_severity_2.npy,synthetic_predictions/medsam_vit_b/frame_thinning_severity_2_mask.npy,synthetic_predictions/medsam_vit_b/frame_thinning_severity_2_mask.png,0.5833739042282104,0.28665792185889627,0.26585556084047596,34459,8233,4.185473096076764,127,2,63.5,0.031260870028178234,0.032666043503030734
medsam_vit_b,synthetic_topcow_projection,contrast_phase_severity_0,contrast_phase,0,cells/contrast_phase_severity_0.npy,synthetic_predictions/medsam_vit_b/contrast_phase_severity_0_mask.npy,synthetic_predictions/medsam_vit_b/contrast_phase_severity_0_mask.png,0.5834706425666809,0.25539705183071804,0.23318951733744522,33827,8233,4.108708854609499,120,2,60.0,0.0,0.0
medsam_vit_b,synthetic_topcow_projection,contrast_phase_severity_1,contrast_phase,1,cells/contrast_phase_severity_1.npy,synthetic_predictions/medsam_vit_b/contrast_phase_severity_1_mask.npy,synthetic_predictions/medsam_vit_b/contrast_phase_severity_1_mask.png,0.5823677778244019,0.29804909922524037,0.2859637550954392,34619,8233,4.204907081258351,131,2,65.5,0.04265204739452233,0.052774237757993975
medsam_vit_b,synthetic_topcow_projection,contrast_phase_severity_2,contrast_phase,2,cells/contrast_phase_severity_2.npy,synthetic_predictions/medsam_vit_b/contrast_phase_severity_2_mask.npy,synthetic_predictions/medsam_vit_b/contrast_phase_severity_2_mask.png,0.5775357484817505,0.315490616993283,0.29324209729118556,35090,8233,4.2621158751366455,153,2,76.5,0.06009356516256498,0.06005257995374033
medsam_vit_b,synthetic_topcow_projection,device_overlay_severity_0,device_overlay,0,cells/device_overlay_severity_0.npy,synthetic_predictions/medsam_vit_b/device_overlay_severity_0_mask.npy,synthetic_predictions/medsam_vit_b/device_overlay_severity_0_mask.png,0.5834706425666809,0.25539705183071804,0.23318951733744522,33827,8233,4.108708854609499,120,2,60.0,0.0,0.0
medsam_vit_b,synthetic_topcow_projection,device_overlay_severity_1,device_overlay,1,cells/device_overlay_severity_1.npy,synthetic_predictions/medsam_vit_b/device_overlay_severity_1_mask.npy,synthetic_predictions/medsam_vit_b/device_overlay_severity_1_mask.png,0.5823554992675781,0.24476502943163175,0.22950645942672585,33219,8233,4.034859710919471,130,2,65.0,-0.010632022399086283,-0.0036830579107193784
medsam_vit_b,synthetic_topcow_projection,device_overlay_severity_2,device_overlay,2,cells/device_overlay_severity_2.npy,synthetic_predictions/medsam_vit_b/device_overlay_severity_2_mask.npy,synthetic_predictions/medsam_vit_b/device_overlay_severity_2_mask.png,0.5847083926200867,0.24823874755381606,0.22381904563850719,32647,8233,3.9653832138952994,121,2,60.5,-0.007158304276901978,-0.009370471698938038
sam_vit_l,synthetic_topcow_projection,clean,clean,0,clean_sequence.npy,synthetic_predictions/sam_vit_l/clean_mask.npy,synthetic_predictions/sam_vit_l/clean_mask.png,0.9769415855407715,0.9751922599851154,0.9980806142034548,7891,8233,0.9584598566743593,2,2,1.0,0.0,0.0
sam_vit_l,synthetic_topcow_projection,frame_thinning_severity_0,frame_thinning,0,cells/frame_thinning_severity_0.npy,synthetic_predictions/sam_vit_l/frame_thinning_severity_0_mask.npy,synthetic_predictions/sam_vit_l/frame_thinning_severity_0_mask.png,0.9769415855407715,0.9751922599851154,0.9980806142034548,7891,8233,0.9584598566743593,2,2,1.0,0.0,0.0
