model_id,family,severity,mean_dice,mean_cldice,dice_delta_vs_clean,cldice_delta_vs_clean,dice_delta_vs_family_severity0,cldice_delta_vs_family_severity0
medsam_vit_b,contrast_phase,0,0.25539705183071804,0.23318951733744522,0.0,0.0,0.0,0.0
medsam_vit_b,contrast_phase,1,0.29804909922524037,0.2859637550954392,0.04265204739452233,0.052774237757993975,0.04265204739452233,0.052774237757993975
medsam_vit_b,contrast_phase,2,0.315490616993283,0.29324209729118556,0.06009356516256498,0.06005257995374033,0.06009356516256498,0.06005257995374033
medsam_vit_b,device_overlay,0,0.25539705183071804,0.23318951733744522,0.0,0.0,0.0,0.0
medsam_vit_b,device_overlay,1,0.24476502943163175,0.22950645942672585,-0.010632022399086283,-0.0036830579107193784,-0.010632022399086283,-0.0036830579107193784
medsam_vit_b,device_overlay,2,0.24823874755381606,0.22381904563850719,-0.007158304276901978,-0.009370471698938038,-0.007158304276901978,-0.009370471698938038
medsam_vit_b,frame_thinning,0,0.25539705183071804,0.23318951733744522,0.0,0.0,0.0,0.0
medsam_vit_b,frame_thinning,1,0.25539705183071804,0.23318951733744522,0.0,0.0,0.0,0.0
medsam_vit_b,frame_thinning,2,0.28665792185889627,0.26585556084047596,0.031260870028178234,0.032666043503030734,0.031260870028178234,0.032666043503030734
sam_vit_b,contrast_phase,0,0.9810482128526452,0.9990412272291467,0.0,0.0,0.0,0.0
sam_vit_b,contrast_phase,1,0.9755795215073757,0.9966704774744819,-0.005468691345269505,-0.0023707497546647804,-0.005468691345269505,-0.0023707497546647804
sam_vit_b,contrast_phase,2,0.9721600795426298,0.9943553687015547,-0.008888133310015367,-0.004685858527591957,-0.008888133310015367,-0.004685858527591957
sam_vit_b,device_overlay,0,0.9810482128526452,0.9990412272291467,0.0,0.0,0.0,0.0
sam_vit_b,device_overlay,1,0.5602697899102219,0.6528187370790942,-0.4207784229424233,-0.34622249015005246,-0.4207784229424233,-0.34622249015005246
sam_vit_b,device_overlay,2,0.6241094597782496,0.6424506218998289,-0.3569387530743956,-0.35659060532931774,-0.3569387530743956,-0.35659060532931774
sam_vit_b,frame_thinning,0,0.9810482128526452,0.9990412272291467,0.0,0.0,0.0,0.0
sam_vit_b,frame_thinning,1,0.9810482128526452,0.9990412272291467,0.0,0.0,0.0,0.0
sam_vit_b,frame_thinning,2,0.9773895806231804,0.9990412272291467,-0.003658632229464831,0.0,-0.003658632229464831,0.0
